term_id,taxonomy,slug,name,count,new_type,new_slug,action
335,category,podcast,Podcast,22,,,
336,category,white-paper,White Paper,23,,,
340,category,case-study,Case Study,14,,,REMOVE
345,category,aia-courses,AIA Courses,3,,,REMOVE
348,category,covid19-impacts,COVID-19 Impacts,11,,,REMOVE
351,category,webinar,Webinar,2,,,
355,category,events-hosted-by-others,Events Hosted by Others,36,,,
360,category,chicago-white-papers,Chicago White Papers,5,cg_office,chicago,
361,category,chicago-news,Chicago News,7,cg_office,chicago,
364,category,sponsorships,Sponsorships,32,,,REMOVE
366,category,continuing-education,Continuing Education,0,,,REMOVE
367,category,rics-courses,RICS Courses,4,,,REMOVE
369,category,expert-insiders-blog,Expert Insiders Blog,26,,,REMOVE
373,category,why-cumming,Why Cumming,8,,,REMOVE
374,category,internship-program,Internship Program,4,,,REMOVE
425,category,boston,Boston,2,cg_office,boston,
426,category,office-boston-blog,Office - Boston - Blog,1,cg_office,boston,
499,category,blog,Blog,11,,,
519,category,uncategorized-en-gb,Uncategorized,0,,,REMOVE
1,category,uncategorized,Uncategorized,15,,,
2,category,news,News,282,,,
3,category,press-releases,Press Releases,86,,,
4,category,region,Region,0,,,REMOVE
5,category,region-west,West,84,cg_region,us-northwest,
6,category,region-east,East,111,cg_region,us-northeast,
7,category,region-international,International,25,cg_region,europe,
220,category,other-news,Other News,38,,,
459,news_and_insights,news,News,109,,,
460,news_and_insights,blog,Blog,39,,,
461,news_and_insights,podcast,Podcast,22,,,
462,news_and_insights,white-paper,White Paper,7,,,
463,news_and_insights,case-study,Case Study,15,,,
464,news_and_insights,press-release,Press Release,43,,,
465,news_and_insights,cumming-insights,Cumming Insights,0,,,
466,news_and_insights,other_news,Other,0,,,
468,news_and_insights,expert-insights-blog,Expert Insights Blog,0,,,
469,news_and_insights,events,Events,36,,,
438,news_region,us_west,US — West,96,cg_region,us-northwest,
439,news_region,us_east,US — East,48,cg_region,us-northeast,
440,news_region,us_central,US — Central,63,cg_region,us-northcentral,
441,news_region,europe_uk,Europe — UK,25,cg_region,europe,
442,news_region,other_region,Other,25,,,REMOVE
443,news_topics,aviation,Aviation,1,cg_sector,transportation,
444,news_topics,corporate,Corporate,0,,,REMOVE
445,news_topics,culture_arts,Culture & Arts,3,cg_sector,culture-non-profit,
446,news_topics,gaming,Gaming,0,cg_sector,hospitality-gaming,
447,news_topics,healthcare,Healthcare,15,cg_sector,healthcare,
